year,tfr,total_live_births,log_total_live_births,tfr_difference,log_births_difference
1960,5.76,61775,11.031254030856811,NA,NA
1961,5.41,59930,11.00093249345223,-0.34999999999999964,-0.030321537404580212
1962,5.21,58977,10.984902816375715,-0.20000000000000018,-0.01602967707651537
1963,5.16,59530,10.994235666147436,-0.04999999999999982,0.00933284977172022
1964,4.97,58217,10.971932687287666,-0.1900000000000004,-0.02230297885976995
1965,4.66,55725,10.92818415825407,-0.3099999999999996,-0.043748529033596384
1966,4.46,54680,10.909253290837885,-0.20000000000000018,-0.018930867416184327
1967,3.91,50560,10.83091602882074,-0.5499999999999998,-0.07833726201714519
1968,3.53,47241,10.76301743858852,-0.38000000000000034,-0.06789859023222
1969,3.22,44562,10.70463675689735,-0.3099999999999996,-0.058380681691168945
1970,3.07,45934,10.73496086257636,-0.15000000000000036,0.030324105679008895
1971,3.02,47088,10.759773470473254,-0.04999999999999982,0.024812607896894434
1972,3.04,49678,10.813317458148045,0.020000000000000018,0.05354398767479118
1973,2.79,48269,10.784544811638616,-0.25,-0.028772646509429123
1974,2.35,43268,10.67516861075018,-0.43999999999999995,-0.1093762008884358
1975,2.07,39948,10.595333887363026,-0.28000000000000025,-0.07983472338715458
1976,2.11,42783,10.663896106404877,0.040000000000000036,0.06856221904185134
1977,1.82,38364,10.554874798847841,-0.2899999999999998,-0.1090213075570361
1978,1.79,39441,10.582561163364714,-0.030000000000000027,0.027686364516872786
1979,1.79,40779,10.615922522003357,0,0.033361358638643424
1980,1.82,41217,10.626606071592057,0.030000000000000027,0.010683549588700103
1981,1.78,42250,10.65135963278532,-0.040000000000000036,0.024753561193262996
1982,1.74,42654,10.660876335157537,-0.040000000000000036,0.009516702372216912
1983,1.61,40585,10.611153819195277,-0.1299999999999999,-0.049722515962260516
1984,1.62,41556,10.634797194190423,0.010000000000000009,0.023643374995145905
1985,1.61,42484,10.656882813441431,-0.010000000000000009,0.02208561925100838
1986,1.43,38379,10.555265713985145,-0.18000000000000016,-0.10161709945628594
1987,1.62,43616,10.68317933449626,0.19000000000000017,0.127913620511114
1988,1.96,52957,10.877235542480735,0.33999999999999986,0.19405620798447565
1989,1.75,47669,10.772036570424822,-0.20999999999999996,-0.10519897205591278
1990,1.83,51142,10.84236135641054,0.08000000000000007,0.07032478598571856
1991,1.73,49114,10.801899405522992,-0.10000000000000009,-0.04046195088754878
1992,1.72,49402,10.807746188186444,-0.010000000000000009,0.005846782663452288
1993,1.74,50225,10.824268189683135,0.020000000000000018,0.01652200149669092
1994,1.71,49554,10.810818263038772,-0.030000000000000027,-0.01344992664436262
1995,1.67,48635,10.79209871530354,-0.040000000000000036,-0.01871954773523221
1996,1.66,48577,10.790905446841167,-0.010000000000000009,-0.0011932684623729983
1997,1.61,47333,10.76496300563697,-0.04999999999999982,-0.02594244120419731
1998,1.48,43664,10.68427924294812,-0.13000000000000012,-0.08068376268884947
1999,1.47,43336,10.676738977337735,-0.010000000000000009,-0.007540265610385788
2000,1.6,46997,10.757839048867755,0.13000000000000012,0.0811000715300203
2001,1.41,41451,10.63226728572478,-0.19000000000000017,-0.12557176314297536
2002,1.37,40760,10.615456487336662,-0.039999999999999813,-0.01681079838811783
2003,1.27,37485,10.531696131937162,-0.10000000000000009,-0.08376035539949989
2004,1.26,37174,10.523364871168297,-0.010000000000000009,-0.008331260768864368
2005,1.26,37492,10.531882855866376,0,0.008517984698078962
2006,1.28,38317,10.553648940919915,0.020000000000000018,0.02176608505353883
2007,1.29,39490,10.583802754280695,0.010000000000000009,0.030153813360779935
2008,1.28,39826,10.592275244318621,-0.010000000000000009,0.00847249003792605
2009,1.22,39570,10.58582653437947,-0.06000000000000005,-0.006448709939151698
2010,1.15,37967,10.544472640359878,-0.07000000000000006,-0.041353894019591664
2011,1.2,39654,10.587947104698507,0.050000000000000044,0.04347446433862956
2012,1.29,42663,10.661087313040806,0.09000000000000008,0.07314020834229851
2013,1.19,39720,10.58961011815911,-0.10000000000000009,-0.07147719488169635
2014,1.25,42232,10.650933506503453,0.06000000000000005,0.061323388344343144
2015,1.24,42185,10.649819986599727,-0.010000000000000009,-0.001113519903725546
2016,1.2,41251,10.627430633893226,-0.040000000000000036,-0.022389352706500887
2017,1.16,39615,10.586963113399342,-0.040000000000000036,-0.040467520493884024
2018,1.14,39039,10.572316425444868,-0.020000000000000018,-0.014646687954474658
2019,1.14,39279,10.578445303895863,0,0.006128878450995856
2020,1.1,38590,10.560748454531664,-0.039999999999999813,-0.017696849364199352
2021,1.12,38672,10.562871102943264,0.020000000000000018,0.0021226484115999256
2022,1.04,35605,10.480241356416226,-0.08000000000000007,-0.08262974652703825
2023,0.97,33541,10.420523850078832,-0.07000000000000006,-0.059717506337394255
2024,0.97,33703,10.425342133149853,0,0.004818283071021057
2025,0.87,30004,10.309085985089528,-0.09999999999999998,-0.1162561480603248
